Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,,0.3766,0.5393,40.0634,32.2618,30.1213,5048
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,0,0.2406,0.3381,44.104,35.8463,38.0508,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,1,0.1762,0.2766,32.7637,28.9079,33.1544,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,2,0.1513,0.2468,30.1581,26.7153,31.5548,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,3,0.1426,0.2187,33.2319,28.1786,32.9351,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,4,0.1439,0.2227,33.7041,30.4688,34.9261,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,5,0.155,0.2234,33.6124,31.9983,35.3062,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,6,0.307,0.3953,44.8246,35.9479,37.1991,209
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,7,0.4981,0.62,44.8142,34.1474,28.1306,210
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,8,0.3892,0.5057,33.3724,26.9706,23.6037,210
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,9,0.3309,0.4444,29.721,23.4411,21.3327,210
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,10,0.3603,0.489,29.8942,25.0729,23.8341,210
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,11,0.402,0.6142,37.9412,28.8673,26.6218,210
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,12,0.4247,0.6071,43.2816,31.9375,29.1239,212
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,13,0.4118,0.5598,47.2858,34.8846,30.3429,212
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,14,0.4317,0.5962,50.8219,37.1156,34.4287,212
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,15,0.4387,0.6389,49.4402,37.9516,36.905,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,16,0.4048,0.5834,42.444,36.3207,34.5871,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,17,0.4628,0.6714,40.6316,35.5617,34.8441,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,18,0.5378,0.6951,45.2003,36.4561,32.9296,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,19,0.629,0.7766,39.7313,32.5347,30.2388,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,20,0.6176,0.7733,38.0733,30.069,26.9601,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,21,0.5099,0.6586,33.9374,27.3517,24.7443,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,22,0.485,0.6091,44.2033,35.3898,32.1552,211
hourly,validation,gru_seq12_h32_l1_d0p0_lr0p001_bs64,23,0.3741,0.48,57.8453,41.9321,42.0833,211
summary,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,,0.3332,0.4833,42.3175,35.8719,34.7502,5049
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,0,0.2477,0.4071,35.6865,34.2192,37.5447,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,1,0.1935,0.3111,29.8631,31.3309,34.0511,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,2,0.175,0.2805,29.3384,31.1143,33.1799,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,3,0.1517,0.2496,30.2173,30.8618,32.5953,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,4,0.1677,0.2632,33.1621,33.4632,36.2197,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,5,0.1584,0.259,32.6029,31.5948,35.2177,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,6,0.2315,0.3022,40.9318,35.188,35.5002,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,7,0.4348,0.5484,50.2752,38.3106,33.0226,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,8,0.3227,0.424,37.6571,29.7803,25.7081,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,9,0.3374,0.4657,40.0079,31.4926,28.1405,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,10,0.3712,0.5144,45.6912,35.4037,32.5722,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,11,0.3786,0.5339,46.0442,37.0996,33.2326,209
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,12,0.3993,0.5725,45.7983,37.8501,36.1438,211
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,13,0.3535,0.4639,43.5705,36.6679,33.9403,211
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,14,0.3708,0.5132,49.212,39.5249,37.7438,211
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,15,0.338,0.4811,44.4601,37.7527,37.2465,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,16,0.3213,0.4315,46.2611,38.9155,39.1431,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,17,0.3559,0.5096,44.2899,40.1906,40.263,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,18,0.437,0.6406,50.7103,41.4906,40.7904,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,19,0.4838,0.6353,59.7024,39.8626,37.3614,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,20,0.458,0.6025,48.0759,34.5288,31.1326,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,21,0.5122,0.6699,44.7584,37.3903,33.7751,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,22,0.4287,0.5763,40.8278,36.2904,35.4771,212
hourly,test,gru_seq12_h32_l1_d0p0_lr0p001_bs64,23,0.3563,0.5222,45.7331,40.1985,41.9585,212
